Name,Address,Lat,Lon,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Stanaker Neighborhood Library,"611 S Sgt Macario Garcia Dr, Houston, TX 77011",29.74017723,-95.30269134,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Magnolia Multi-Service Center,"7037 Capitol St, Houston, TX 77011",29.73475068,-95.30052639,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,,12:00PM-6:00PM
Flores Library,"110 N Milby St, Houston, TX 77003",29.75057849,-95.33448535,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Smith Neighborhood Library,"3624 Scott St, Houston, TX 77004",29.72281185,-95.35112712,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Emancipation Community Center,"3018 Emancipation Ave., 77004",29.7357463,-95.36403622,9:00AM-8:00PM,9:00AM-8:00PM,9:00AM-8:00PM,9:00AM-8:00PM,9:00AM-8:00PM,10:00AM-2:00PM,
"Judson Robinson, Jr. Community Center","2020 Hermann Dr, Houston, TX 77004",29.71681576,-95.38123365,9:00AM-8:00PM,9:00AM-8:00PM,9:00AM-8:00PM,9:00AM-8:00PM,9:00AM-8:00PM,10:00AM-2:00PM,
Parent Resource Library,"1500 Binz St, Houston, TX 77004",29.72299031,-95.38484303,,,,,,10:00AM-6:00PM,
Family History Research - Clayton Library,"5300 Caroline St, Houston, TX 77004",29.7258133,-95.38614052,12:00PM-5:00PM,10:00AM-5:00PM,10:00AM-5:00PM,12:00PM-7:00PM,10:00AM-5:00PM,8:00AM-5:00PM,
Freed-Montrose Library,"1001 California St, Houston, TX 77006",29.74542726,-95.39048995,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Tellepsen Family Downtown YMCA,"808 Pease St. Houston, TX 77002",29.75235459,-95.37008574,5:00AM-10:00PM,5:00AM-10:00PM,5:00AM-10:00PM,5:00AM-10:00PM,5:00AM-9:00PM,7:00AM-6:00PM,11:00AM-6:00PM
Julia Ideson Building," 550 McKinney St, Houston, TX 77002",29.75909811,-95.36894038,12:00PM-5:00PM,10:00AM-5:00PM,10:00AM-5:00PM,11:00AM-6:00PM,10:00AM-5:00PM,10:00AM-5:00PM,
African American Library @ Gregory School,"1300 Victor St. Houston, TX 77019  ",29.75423077,-95.38076169,12:00PM-5:00PM,10:00AM-5:00PM,10:00AM-5:00PM,12:00PM-7:00PM,10:00AM-5:00PM,8:00AM-5:00PM,
