Name,Address,Lat,Lon,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Mancuso Library,"6767 Bellfort Ave, Houston, TX 77087",29.66808526,-95.31031297,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,1:00PM-5:00PM,,
Garden Villas Community Center,"6720 S Haywood Dr, Houston, TX 77061",29.66415238,-95.29508506,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Meadowcreek Community Center,"5333 Berry Creek Dr, Houston, TX 77017",29.68000279,-95.24336153,8:00AM-7:00PM,8:00AM-7:00PM,8:00AM-7:00PM,8:00AM-7:00PM,8:00AM-7:00PM,,
Charlton Community Center,"8200 Park Pl Blvd, Houston, TX 77017",29.6876768,-95.27394806,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Ingrando Community Center,"7302 Keller, Houston, TX 77012",29.70604536,-95.28752414,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Melcher Neighborhood Library,"7200 Keller St, Houston, TX 77012",29.70619737,-95.28959315,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,,,
Clinton Community Center,"200 Mississippi St, Houston, TX 77029",29.74358934,-95.26207405,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Pleasantville Neighborhood Library,"1520 Gellhorn Dr, Houston, TX 77029",29.76382169,-95.27322537,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,,,
Hobart Taylor Community Center,"8100 Kenton St, Houston, TX 77028",29.81501163,-95.27778705,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Lakewood Community Center,"8811 Feland St, Houston, TX 77028",29.84058995,-95.26773393,8:00AM-7:00PM,8:00AM-7:00PM,8:00AM-7:00PM,8:00AM-7:00PM,8:00AM-7:00PM,,
Northeast Multi-Service Center,"9720 Spaulding St, Houston, TX 77016",29.849509,-95.30468885,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,,
Shady Lane Community Center,"10220 Shady, Houston, TX 77093",29.85982187,-95.34252526,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Moody Neighborhood Library,"9525 Irvington Blvd, Houston, TX 77076",29.84758302,-95.36282831,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,,,
Clark Community Center,"9718 Clark Rd, Houston, TX 77076",29.84847954,-95.37566028,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,11:00AM-7:00PM,,
Lincoln Community Center,"979 Grenshaw St, Houston, TX 77088",29.88030094,-95.4246971,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,,
